-40.1376517,-7.3794407
-40.1571334,-7.3714570
-40.1710268,-7.3664232
-40.1804997,-7.3629889
-40.1876530,-7.3612074
-40.1956847,-7.3581487
-40.2207600,-7.3412703
-40.2293668,-7.3335078
-40.2419717,-7.3179952
-40.2601637,-7.3026682
-40.2629956,-7.3010209
-40.2680445,-7.3008009
-40.2790033,-7.2993911
-40.3107408,-7.3006974
-40.3170216,-7.3035580
-40.3185632,-7.3033404
-40.3293944,-7.3185579
-40.3380154,-7.3237941
-40.3507936,-7.3341714
-40.3582236,-7.3524921
-40.3609840,-7.3556008
-40.3745223,-7.3629877
-40.3938781,-7.3681684
-40.4110261,-7.3685584
-40.4335917,-7.3671782
-40.4490550,-7.3611255
-40.4593084,-7.3549517
-40.4744310,-7.3458234
-40.4762465,-7.3447276
-40.4869405,-7.3365060
-40.5102865,-7.3228302
-40.5165931,-7.3202688
-40.5237232,-7.3184505
-40.5228749,-7.3178640
-40.5228749,-7.3178640
-40.5142687,-7.3078321
-40.5116313,-7.2994306
-40.5123828,-7.2854469
-40.5152776,-7.2751696
-40.5155375,-7.2698344
-40.5157994,-7.2644614
-40.5135611,-7.2397033
-40.5109597,-7.2338543
-40.5102684,-7.2243555
-40.5061165,-7.2108597
-40.5042512,-7.2047963
-40.5012969,-7.1886528
-40.4947919,-7.1823441
-40.4957103,-7.1696181
-40.4843697,-7.1331987
-40.4853014,-7.1270179
-40.4897393,-7.1186901
-40.4852507,-7.1110093
-40.4704331,-7.0939704
-40.4694212,-7.0876441
-40.4593779,-7.0785192
-40.4593494,-7.0784759
-40.4577880,-7.0761028
-40.4533848,-7.0712338
-40.4442591,-7.0559322
-40.4432815,-7.0480955
-40.4277177,-7.0338811
-40.4269411,-7.0294603
-40.4298356,-7.0278758
-40.4320173,-7.0256859
-40.4348921,-7.0228007
-40.4386846,-7.0164594
-40.4340662,-7.0152549
-40.4290806,-7.0182444
-40.4280135,-7.0184767
-40.4278513,-7.0153512
-40.4252965,-7.0157396
-40.4075878,-7.0062109
-40.4062495,-7.0053266
-40.4069751,-7.0036564
-40.4069751,-7.0036564
-40.4110731,-6.9990757
-40.4237590,-6.9973699
-40.4286547,-6.9961299
-40.4298702,-6.9933431
-40.4303741,-6.9757538
-40.4272844,-6.9663241
-40.4291212,-6.9485029
-40.4244739,-6.9372014
-40.4250200,-6.9352698
-40.4270332,-6.9180229
-40.4327058,-6.9085394
-40.4339550,-6.9021429
-40.4329130,-6.8927170
-40.4289613,-6.8848602
-40.4300723,-6.8756472
-40.4301790,-6.8678162
-40.4285196,-6.8642545
-40.4158340,-6.8593745
-40.4107554,-6.8555798
-40.4022192,-6.8399895
-40.3970117,-6.8354552
-40.3871123,-6.8300758
-40.3829029,-6.8209918
-40.3798816,-6.8170149
-40.3705774,-6.8079935
-40.3705110,-6.8031578
-40.3639901,-6.8068316
-40.3564941,-6.8070404
